rule,support,support_rate,fraud_count,fraud_rate,global_fraud_rate,fraud_rate_diff,lift,order,strength,business_interpretation,feature_a,value_a,feature_b,value_b
low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,2,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_mcc_entropy_flag AND low_night_ratio_flag AND card_not_present_flag,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_mcc_entropy_flag AND low_night_ratio_flag AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_mcc_entropy_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_mcc_entropy_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_low_night_ratio,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_night_ratio_flag AND card_not_present_flag AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
low_night_ratio_flag AND low_mcc_entropy_x_low_night_ratio AND low_mcc_entropy_x_card_not_present,664,0.00664,175,0.2635542168674699,0.02549,0.23806421686746987,10.339514196448407,3,VERY_STRONG,"User có lịch sử ngành hàng ít đa dạng và ít giao dịch ban đêm. Khi hai tín hiệu này cùng xuất hiện, fraud rate thường tăng mạnh. Đây là nhóm behavioral anomaly quan trọng.",,,,
